CustomerKey,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
11000,JON,YANG,08-04-1966,M,M,jon24@adventure-works.com,90000,2,Bachelors,Professional,Y
11001,EUGENE,HUANG,14-05-1965,S,M,eugene10@adventure-works.com,60000,3,Bachelors,Professional,N
11002,RUBEN,TORRES,12-08-1965,M,M,ruben35@adventure-works.com,60000,3,Bachelors,Professional,Y
11003,CHRISTY,ZHU,15-02-1968,S,F,christy12@adventure-works.com,70000,0,Bachelors,Professional,N
11004,ELIZABETH,JOHNSON,08-08-1968,S,F,elizabeth5@adventure-works.com,80000,5,Bachelors,Professional,Y
11005,JULIO,RUIZ,05-08-1965,S,M,julio1@adventure-works.com,70000,0,Bachelors,Professional,Y
11007,MARCO,MEHTA,09-05-1964,M,M,marco14@adventure-works.com,60000,3,Bachelors,Professional,Y
11008,ROBIN,VERHOFF,07-07-1964,S,F,rob4@adventure-works.com,60000,4,Bachelors,Professional,Y
11009,SHANNON,CARLSON,01-04-1964,S,M,shannon38@adventure-works.com,70000,0,Bachelors,Professional,N
11010,JACQUELYN,SUAREZ,06-02-1964,S,F,jacquelyn20@adventure-works.com,70000,0,Bachelors,Professional,N
11011,CURTIS,LU,04-11-1963,M,M,curtis9@adventure-works.com,60000,4,Bachelors,Professional,Y
11012,LAUREN,WALKER,18-01-1968,M,F,lauren41@adventure-works.com,100000,2,Bachelors,Management,Y
11013,IAN,JENKINS,06-08-1968,M,M,ian47@adventure-works.com,100000,2,Bachelors,Management,Y
11014,SYDNEY,BENNETT,09-05-1968,S,F,sydney23@adventure-works.com,100000,3,Bachelors,Management,N
11015,CHLOE,YOUNG,27-02-1979,S,F,chloe23@adventure-works.com,30000,0,Partial College,Skilled Manual,N
11016,WYATT,HILL,28-04-1979,M,M,wyatt32@adventure-works.com,30000,0,Partial College,Skilled Manual,Y
11017,SHANNON,WANG,26-06-1944,S,F,shannon1@adventure-works.com,20000,4,High School,Skilled Manual,Y
11018,CLARENCE,RAI,09-10-1944,S,M,clarence32@adventure-works.com,30000,2,Partial College,Clerical,Y
11019,LUKE,LAL,07-03-1978,S,M,luke18@adventure-works.com,40000,0,High School,Skilled Manual,N
11020,JORDAN,KING,20-09-1978,S,M,jordan73@adventure-works.com,40000,0,High School,Skilled Manual,N
11021,DESTINY,WILSON,03-09-1978,S,F,destiny7@adventure-works.com,40000,0,Partial College,Skilled Manual,N
